"State","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Rate of growth","Doubling/halving time (days)","New confirmed cases by infection date","Effective reproduction no.","Rate of growth","Doubling/halving time (days)"
"North Dakota","458 (326 -- 624)","Stable","0.99 (0.87 -- 1.1)","-0.0032 (-0.036 -- 0.029)","-210 (24 -- -19)","458","0.99","-0.0032","-210"
"Northern Mariana Islands","35 (9 -- 196)","Increasing","1.4 (1 -- 2.1)","0.11 (0.0043 -- 0.27)","6.6 (2.6 -- 160)","35","1.4","0.11","6.6"
"Ohio","7375 (5012 -- 10260)","Likely increasing","1.1 (0.92 -- 1.2)","0.026 (-0.021 -- 0.067)","26 (10 -- -33)","7375","1.1","0.026","26"
"Oklahoma","597 (305 -- 1541)","Likely decreasing","0.96 (0.82 -- 1.2)","-0.012 (-0.051 -- 0.058)","-60 (12 -- -14)","597","0.96","-0.012","-60"
"Oregon","737 (405 -- 1339)","Likely decreasing","0.96 (0.83 -- 1.1)","-0.011 (-0.048 -- 0.027)","-61 (26 -- -15)","737","0.96","-0.011","-61"
"Pennsylvania","7879 (4657 -- 16574)","Likely increasing","1.1 (0.95 -- 1.3)","0.021 (-0.015 -- 0.081)","32 (8.6 -- -45)","7879","1.1","0.021","32"
"Puerto Rico","159 (79 -- 309)","Likely increasing","1.1 (0.83 -- 1.3)","0.014 (-0.048 -- 0.075)","50 (9.3 -- -14)","159","1.1","0.014","50"
"Rhode Island","378 (210 -- 1134)","Likely increasing","1 (0.93 -- 1.4)","0.01 (-0.019 -- 0.092)","69 (7.5 -- -37)","378","1","0.01","69"
"South Carolina","704 (363 -- 1511)","Stable","1 (0.83 -- 1.3)","0.0066 (-0.048 -- 0.083)","110 (8.4 -- -15)","704","1","0.0066","110"
"South Dakota","438 (171 -- 1351)","Stable","1 (0.81 -- 1.3)","0.0047 (-0.053 -- 0.091)","150 (7.6 -- -13)","438","1","0.0047","150"
"Tennessee","949 (259 -- 5203)","Stable","1 (0.69 -- 1.6)","0.0015 (-0.092 -- 0.15)","470 (4.7 -- -7.6)","949","1","0.0015","470"
"Texas","2927 (1906 -- 4749)","Stable","0.99 (0.86 -- 1.1)","-0.0034 (-0.041 -- 0.039)","-210 (18 -- -17)","2927","0.99","-0.0034","-210"
"Utah","1631 (851 -- 3105)","Stable","1 (0.88 -- 1.1)","0.0028 (-0.033 -- 0.036)","250 (19 -- -21)","1631","1","0.0028","250"
"Vermont","405 (268 -- 754)","Likely increasing","1 (0.97 -- 1.2)","0.014 (-0.0075 -- 0.057)","51 (12 -- -93)","405","1","0.014","51"
"Virgin Islands","8 (3 -- 41)","Likely decreasing","0.95 (0.8 -- 1.3)","-0.014 (-0.056 -- 0.086)","-49 (8.1 -- -12)","8","0.95","-0.014","-49"
"Virginia","2289 (1605 -- 3453)","Increasing","1.2 (1 -- 1.3)","0.042 (0.0036 -- 0.091)","17 (7.6 -- 190)","2289","1.2","0.042","17"
"Washington","1656 (853 -- 4484)","Likely decreasing","0.98 (0.86 -- 1.2)","-0.0064 (-0.04 -- 0.062)","-110 (11 -- -17)","1656","0.98","-0.0064","-110"
"West Virginia","801 (331 -- 2503)","Stable","1 (0.78 -- 1.4)","0.00039 (-0.063 -- 0.093)","1800 (7.4 -- -11)","801","1","0.00039","1800"
"Wisconsin","3208 (937 -- 9112)","Stable","1 (0.76 -- 1.2)","0.00065 (-0.068 -- 0.064)","1100 (11 -- -10)","3208","1","0.00065","1100"
"Wyoming","229 (115 -- 438)","Likely decreasing","0.94 (0.79 -- 1.1)","-0.017 (-0.06 -- 0.026)","-41 (27 -- -12)","229","0.94","-0.017","-41"
